text,disease
"The patient presents with sharp abdominal pain, nausea, regurgitation, and regurgitation.1.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, sharp abdominal pain, nausea, back pain, regurgitation, and regurgitation.1.",hiatal hernia
"The patient presents with difficulty in swallowing, sharp abdominal pain, regurgitation, burning abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with burning abdominal pain, heartburn, and upper abdominal pain.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, sharp abdominal pain, nausea, vomiting blood, regurgitation, heartburn, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, difficulty in swallowing, sharp abdominal pain, back pain, and vomiting blood.",hiatal hernia
"The patient presents with difficulty in swallowing, sharp abdominal pain, nausea, regurgitation, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, difficulty in swallowing, sharp abdominal pain, back pain, vomiting blood, and upper abdominal pain.",hiatal hernia
"The patient presents with sharp chest pain, sharp abdominal pain, nausea, heartburn, and upper abdominal pain.",hiatal hernia
"The patient presents with sharp abdominal pain, heartburn, and upper abdominal pain.",hiatal hernia
"The patient presents with sharp chest pain, nausea, regurgitation, heartburn, and regurgitation.1.",hiatal hernia
"The patient presents with dizziness, regurgitation, burning abdominal pain, heartburn, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, sharp abdominal pain, vomiting blood, regurgitation, burning abdominal pain, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, sharp abdominal pain, back pain, regurgitation, burning abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, sharp abdominal pain, regurgitation, heartburn, and regurgitation.1.",hiatal hernia
"The patient presents with sharp abdominal pain, vomiting blood, burning abdominal pain, and upper abdominal pain.",hiatal hernia
"The patient presents with sharp chest pain, sharp abdominal pain, nausea, burning abdominal pain, heartburn, and upper abdominal pain.",hiatal hernia
"The patient presents with difficulty in swallowing, sharp abdominal pain, regurgitation, heartburn, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, vomiting blood, regurgitation, heartburn, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp abdominal pain, nausea, back pain, vomiting blood, regurgitation, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, sharp abdominal pain, nausea, back pain, burning abdominal pain, heartburn, and upper abdominal pain.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, sharp abdominal pain, nausea, back pain, vomiting blood, regurgitation, heartburn, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp abdominal pain, regurgitation, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp abdominal pain, nausea, vomiting blood, regurgitation, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, back pain, regurgitation, burning abdominal pain, heartburn, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, difficulty in swallowing, regurgitation, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, difficulty in swallowing, sharp abdominal pain, nausea, back pain, vomiting blood, regurgitation, burning abdominal pain, heartburn, and regurgitation.1.",hiatal hernia
"The patient presents with difficulty in swallowing, sharp abdominal pain, nausea, back pain, vomiting blood, regurgitation, burning abdominal pain, heartburn, and regurgitation.1.",hiatal hernia
"The patient presents with dizziness, vomiting blood, regurgitation, burning abdominal pain, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, difficulty in swallowing, sharp abdominal pain, regurgitation, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, difficulty in swallowing, sharp abdominal pain, vomiting blood, and heartburn.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, back pain, regurgitation, burning abdominal pain, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, difficulty in swallowing, sharp abdominal pain, nausea, regurgitation, burning abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with dizziness, sharp abdominal pain, nausea, back pain, vomiting blood, regurgitation, and regurgitation.1.",hiatal hernia
The patient presents with sharp abdominal pain and heartburn.,hiatal hernia
"The patient presents with sharp abdominal pain, vomiting blood, regurgitation, burning abdominal pain, heartburn, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, nausea, regurgitation, burning abdominal pain, heartburn, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, difficulty in swallowing, nausea, back pain, regurgitation, heartburn, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp abdominal pain, nausea, back pain, vomiting blood, burning abdominal pain, and upper abdominal pain.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, sharp abdominal pain, vomiting blood, burning abdominal pain, heartburn, and upper abdominal pain.",hiatal hernia
"The patient presents with difficulty in swallowing, nausea, and back pain.",hiatal hernia
"The patient presents with sharp chest pain, difficulty in swallowing, back pain, and heartburn.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, sharp abdominal pain, vomiting blood, burning abdominal pain, and upper abdominal pain.",hiatal hernia
"The patient presents with sharp chest pain, difficulty in swallowing, sharp abdominal pain, nausea, vomiting blood, and burning abdominal pain.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, back pain, regurgitation, heartburn, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, difficulty in swallowing, vomiting blood, regurgitation, heartburn, and regurgitation.1.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, sharp abdominal pain, nausea, vomiting blood, regurgitation, heartburn, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, difficulty in swallowing, nausea, vomiting blood, regurgitation, heartburn, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, back pain, vomiting blood, regurgitation, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, difficulty in swallowing, sharp abdominal pain, back pain, regurgitation, and regurgitation.1.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, sharp abdominal pain, nausea, regurgitation, burning abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with difficulty in swallowing, sharp abdominal pain, nausea, vomiting blood, regurgitation, burning abdominal pain, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, sharp abdominal pain, nausea, back pain, vomiting blood, regurgitation, and regurgitation.1.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, sharp abdominal pain, nausea, regurgitation, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, difficulty in swallowing, nausea, back pain, vomiting blood, and upper abdominal pain.",hiatal hernia
"The patient presents with dizziness, sharp abdominal pain, nausea, and heartburn.",hiatal hernia
"The patient presents with dizziness, sharp abdominal pain, nausea, back pain, regurgitation, burning abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, sharp abdominal pain, nausea, burning abdominal pain, and heartburn.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, nausea, vomiting blood, burning abdominal pain, and upper abdominal pain.",hiatal hernia
"The patient presents with difficulty in swallowing, nausea, back pain, regurgitation, heartburn, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, sharp abdominal pain, nausea, regurgitation, burning abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, difficulty in swallowing, sharp abdominal pain, nausea, and upper abdominal pain.",hiatal hernia
"The patient presents with difficulty in swallowing, burning abdominal pain, heartburn, and upper abdominal pain.",hiatal hernia
"The patient presents with difficulty in swallowing, nausea, back pain, vomiting blood, burning abdominal pain, and upper abdominal pain.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, back pain, vomiting blood, burning abdominal pain, heartburn, and upper abdominal pain.",hiatal hernia
"The patient presents with difficulty in swallowing, sharp abdominal pain, nausea, back pain, regurgitation, heartburn, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, nausea, back pain, regurgitation, burning abdominal pain, heartburn, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with dizziness, sharp abdominal pain, nausea, regurgitation, burning abdominal pain, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, nausea, regurgitation, burning abdominal pain, heartburn, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with back pain, vomiting blood, regurgitation, heartburn, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with dizziness, sharp abdominal pain, vomiting blood, regurgitation, and regurgitation.1.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, vomiting blood, and heartburn.",hiatal hernia
"The patient presents with sharp chest pain, difficulty in swallowing, nausea, back pain, heartburn, and upper abdominal pain.",hiatal hernia
"The patient presents with sharp chest pain, sharp abdominal pain, nausea, back pain, vomiting blood, burning abdominal pain, and upper abdominal pain.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, difficulty in swallowing, nausea, back pain, vomiting blood, burning abdominal pain, and heartburn.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, sharp abdominal pain, nausea, burning abdominal pain, and upper abdominal pain.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, sharp abdominal pain, burning abdominal pain, heartburn, and upper abdominal pain.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, nausea, back pain, vomiting blood, heartburn, and upper abdominal pain.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, nausea, regurgitation, burning abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, difficulty in swallowing, nausea, back pain, vomiting blood, regurgitation, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, difficulty in swallowing, nausea, and back pain.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, sharp abdominal pain, nausea, vomiting blood, burning abdominal pain, and upper abdominal pain.",hiatal hernia
"The patient presents with difficulty in swallowing, vomiting blood, burning abdominal pain, and upper abdominal pain.",hiatal hernia
"The patient presents with sharp chest pain, nausea, and back pain.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, nausea, back pain, vomiting blood, burning abdominal pain, and heartburn.",hiatal hernia
"The patient presents with sharp chest pain, difficulty in swallowing, back pain, regurgitation, burning abdominal pain, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, difficulty in swallowing, sharp abdominal pain, back pain, vomiting blood, and heartburn.",hiatal hernia
"The patient presents with sharp chest pain, difficulty in swallowing, back pain, vomiting blood, and upper abdominal pain.",hiatal hernia
"The patient presents with difficulty in swallowing, sharp abdominal pain, nausea, back pain, burning abdominal pain, and upper abdominal pain.",hiatal hernia
"The patient presents with sharp chest pain, vomiting blood, regurgitation, heartburn, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, difficulty in swallowing, sharp abdominal pain, nausea, vomiting blood, burning abdominal pain, and heartburn.",hiatal hernia
"The patient presents with vomiting blood, regurgitation, heartburn, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with difficulty in swallowing, sharp abdominal pain, nausea, back pain, regurgitation, burning abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with difficulty in swallowing, sharp abdominal pain, heartburn, and upper abdominal pain.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, difficulty in swallowing, nausea, regurgitation, burning abdominal pain, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, difficulty in swallowing, sharp abdominal pain, nausea, and heartburn.",hiatal hernia
"The patient presents with dizziness, sharp abdominal pain, nausea, vomiting blood, regurgitation, burning abdominal pain, heartburn, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, difficulty in swallowing, sharp abdominal pain, nausea, back pain, and burning abdominal pain.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, back pain, regurgitation, burning abdominal pain, heartburn, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, sharp abdominal pain, back pain, vomiting blood, regurgitation, burning abdominal pain, heartburn, and regurgitation.1.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, nausea, back pain, regurgitation, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, difficulty in swallowing, nausea, back pain, vomiting blood, burning abdominal pain, and upper abdominal pain.",hiatal hernia
"The patient presents with dizziness, sharp abdominal pain, nausea, regurgitation, burning abdominal pain, heartburn, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, nausea, back pain, vomiting blood, and upper abdominal pain.",hiatal hernia
"The patient presents with difficulty in swallowing, nausea, burning abdominal pain, heartburn, and upper abdominal pain.",hiatal hernia
"The patient presents with difficulty in swallowing, back pain, and upper abdominal pain.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, nausea, and heartburn.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, sharp abdominal pain, regurgitation, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, difficulty in swallowing, sharp abdominal pain, back pain, vomiting blood, regurgitation, heartburn, and regurgitation.1.",hiatal hernia
"The patient presents with sharp abdominal pain, back pain, vomiting blood, regurgitation, and regurgitation.1.",hiatal hernia
"The patient presents with dizziness, sharp abdominal pain, back pain, and burning abdominal pain.",hiatal hernia
"The patient presents with sharp chest pain, difficulty in swallowing, sharp abdominal pain, regurgitation, heartburn, and regurgitation.1.",hiatal hernia
"The patient presents with difficulty in swallowing, sharp abdominal pain, back pain, regurgitation, burning abdominal pain, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with difficulty in swallowing, sharp abdominal pain, nausea, back pain, heartburn, and upper abdominal pain.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, nausea, regurgitation, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, sharp abdominal pain, and back pain.",hiatal hernia
"The patient presents with difficulty in swallowing, back pain, and vomiting blood.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, difficulty in swallowing, back pain, vomiting blood, heartburn, and upper abdominal pain.",hiatal hernia
"The patient presents with sharp chest pain, nausea, back pain, vomiting blood, and heartburn.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, sharp abdominal pain, nausea, vomiting blood, regurgitation, burning abdominal pain, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with difficulty in swallowing, nausea, back pain, regurgitation, heartburn, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, nausea, back pain, vomiting blood, regurgitation, and regurgitation.1.",hiatal hernia
"The patient presents with nausea, back pain, vomiting blood, heartburn, and upper abdominal pain.",hiatal hernia
"The patient presents with sharp chest pain, sharp abdominal pain, nausea, regurgitation, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, difficulty in swallowing, sharp abdominal pain, back pain, heartburn, and upper abdominal pain.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, difficulty in swallowing, sharp abdominal pain, nausea, back pain, vomiting blood, burning abdominal pain, heartburn, and upper abdominal pain.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, sharp abdominal pain, vomiting blood, regurgitation, burning abdominal pain, heartburn, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, difficulty in swallowing, sharp abdominal pain, vomiting blood, and burning abdominal pain.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, nausea, vomiting blood, regurgitation, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, difficulty in swallowing, nausea, back pain, vomiting blood, regurgitation, burning abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp abdominal pain, nausea, back pain, vomiting blood, regurgitation, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, difficulty in swallowing, back pain, regurgitation, burning abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, difficulty in swallowing, sharp abdominal pain, nausea, vomiting blood, and heartburn.",hiatal hernia
"The patient presents with sharp chest pain, nausea, back pain, vomiting blood, burning abdominal pain, and upper abdominal pain.",hiatal hernia
"The patient presents with difficulty in swallowing, sharp abdominal pain, back pain, vomiting blood, regurgitation, burning abdominal pain, heartburn, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with dizziness, sharp abdominal pain, vomiting blood, burning abdominal pain, and heartburn.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, difficulty in swallowing, sharp abdominal pain, back pain, vomiting blood, burning abdominal pain, and heartburn.",hiatal hernia
"The patient presents with dizziness, sharp abdominal pain, back pain, vomiting blood, and burning abdominal pain.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, difficulty in swallowing, sharp abdominal pain, nausea, vomiting blood, regurgitation, heartburn, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, difficulty in swallowing, back pain, burning abdominal pain, heartburn, and upper abdominal pain.",hiatal hernia
"The patient presents with sharp chest pain, difficulty in swallowing, sharp abdominal pain, nausea, back pain, burning abdominal pain, and heartburn.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, and back pain.",hiatal hernia
"The patient presents with sharp chest pain, difficulty in swallowing, nausea, back pain, vomiting blood, burning abdominal pain, and heartburn.",hiatal hernia
"The patient presents with sharp chest pain, vomiting blood, burning abdominal pain, and heartburn.",hiatal hernia
"The patient presents with difficulty in swallowing, sharp abdominal pain, nausea, back pain, vomiting blood, and burning abdominal pain.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, sharp abdominal pain, back pain, regurgitation, and regurgitation.1.",hiatal hernia
"The patient presents with difficulty in swallowing, sharp abdominal pain, vomiting blood, and heartburn.",hiatal hernia
"The patient presents with sharp chest pain, difficulty in swallowing, nausea, back pain, and vomiting blood.",hiatal hernia
"The patient presents with sharp chest pain, difficulty in swallowing, sharp abdominal pain, nausea, vomiting blood, regurgitation, burning abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with difficulty in swallowing, sharp abdominal pain, back pain, vomiting blood, heartburn, and upper abdominal pain.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, sharp abdominal pain, nausea, back pain, vomiting blood, regurgitation, burning abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, difficulty in swallowing, sharp abdominal pain, nausea, vomiting blood, regurgitation, heartburn, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, nausea, back pain, and heartburn.",hiatal hernia
"The patient presents with difficulty in swallowing, sharp abdominal pain, back pain, regurgitation, heartburn, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, difficulty in swallowing, sharp abdominal pain, nausea, regurgitation, heartburn, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with difficulty in swallowing, nausea, regurgitation, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with difficulty in swallowing, nausea, regurgitation, heartburn, and regurgitation.1.",hiatal hernia
"The patient presents with difficulty in swallowing, sharp abdominal pain, and burning abdominal pain.",hiatal hernia
"The patient presents with difficulty in swallowing, sharp abdominal pain, nausea, back pain, and upper abdominal pain.",hiatal hernia
"The patient presents with sharp chest pain, difficulty in swallowing, sharp abdominal pain, nausea, regurgitation, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, sharp abdominal pain, heartburn, and upper abdominal pain.",hiatal hernia
"The patient presents with sharp chest pain, sharp abdominal pain, nausea, vomiting blood, regurgitation, burning abdominal pain, heartburn, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, sharp abdominal pain, nausea, back pain, and vomiting blood.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, difficulty in swallowing, nausea, back pain, burning abdominal pain, heartburn, and upper abdominal pain.",hiatal hernia
"The patient presents with difficulty in swallowing, vomiting blood, regurgitation, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with dizziness, sharp abdominal pain, vomiting blood, regurgitation, heartburn, and regurgitation.1.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, sharp abdominal pain, nausea, vomiting blood, regurgitation, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, sharp abdominal pain, nausea, back pain, vomiting blood, regurgitation, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, nausea, back pain, burning abdominal pain, and upper abdominal pain.",hiatal hernia
"The patient presents with dizziness, sharp abdominal pain, vomiting blood, and upper abdominal pain.",hiatal hernia
"The patient presents with difficulty in swallowing, sharp abdominal pain, back pain, vomiting blood, burning abdominal pain, and upper abdominal pain.",hiatal hernia
"The patient presents with sharp chest pain, difficulty in swallowing, nausea, back pain, vomiting blood, regurgitation, burning abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with difficulty in swallowing, sharp abdominal pain, nausea, regurgitation, heartburn, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, difficulty in swallowing, sharp abdominal pain, nausea, back pain, vomiting blood, burning abdominal pain, heartburn, and upper abdominal pain.",hiatal hernia
"The patient presents with sharp chest pain, difficulty in swallowing, sharp abdominal pain, back pain, burning abdominal pain, heartburn, and upper abdominal pain.",hiatal hernia
"The patient presents with sharp abdominal pain, back pain, vomiting blood, and burning abdominal pain.",hiatal hernia
"The patient presents with difficulty in swallowing, sharp abdominal pain, nausea, vomiting blood, and heartburn.",hiatal hernia
"The patient presents with sharp chest pain, sharp abdominal pain, and nausea.",hiatal hernia
"The patient presents with difficulty in swallowing, sharp abdominal pain, nausea, back pain, burning abdominal pain, and heartburn.",hiatal hernia
"The patient presents with sharp chest pain, difficulty in swallowing, back pain, burning abdominal pain, heartburn, and upper abdominal pain.",hiatal hernia
"The patient presents with dizziness, nausea, back pain, vomiting blood, burning abdominal pain, heartburn, and upper abdominal pain.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, difficulty in swallowing, nausea, vomiting blood, regurgitation, burning abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, difficulty in swallowing, sharp abdominal pain, nausea, vomiting blood, regurgitation, and regurgitation.1.",hiatal hernia
"The patient presents with difficulty in swallowing, nausea, vomiting blood, regurgitation, burning abdominal pain, heartburn, and regurgitation.1.",hiatal hernia
"The patient presents with difficulty in swallowing, sharp abdominal pain, back pain, vomiting blood, regurgitation, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, difficulty in swallowing, sharp abdominal pain, back pain, regurgitation, burning abdominal pain, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with difficulty in swallowing, nausea, regurgitation, burning abdominal pain, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, difficulty in swallowing, nausea, vomiting blood, burning abdominal pain, heartburn, and upper abdominal pain.",hiatal hernia
"The patient presents with sharp chest pain, back pain, and upper abdominal pain.",hiatal hernia
"The patient presents with difficulty in swallowing, sharp abdominal pain, back pain, and heartburn.",hiatal hernia
"The patient presents with nausea, back pain, regurgitation, burning abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, difficulty in swallowing, vomiting blood, regurgitation, burning abdominal pain, heartburn, and regurgitation.1.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, sharp abdominal pain, vomiting blood, and upper abdominal pain.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, difficulty in swallowing, nausea, back pain, and upper abdominal pain.",hiatal hernia
"The patient presents with sharp chest pain, difficulty in swallowing, sharp abdominal pain, vomiting blood, regurgitation, burning abdominal pain, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, nausea, and vomiting blood.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, sharp abdominal pain, nausea, regurgitation, burning abdominal pain, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, sharp abdominal pain, nausea, vomiting blood, and upper abdominal pain.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, regurgitation, heartburn, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, difficulty in swallowing, back pain, vomiting blood, regurgitation, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, difficulty in swallowing, nausea, vomiting blood, regurgitation, burning abdominal pain, heartburn, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with regurgitation, burning abdominal pain, heartburn, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, back pain, regurgitation, burning abdominal pain, heartburn, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with difficulty in swallowing, back pain, vomiting blood, burning abdominal pain, heartburn, and upper abdominal pain.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, difficulty in swallowing, sharp abdominal pain, vomiting blood, regurgitation, burning abdominal pain, heartburn, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, nausea, back pain, vomiting blood, burning abdominal pain, heartburn, and upper abdominal pain.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, sharp abdominal pain, nausea, and vomiting blood.",hiatal hernia
"The patient presents with dizziness, regurgitation, heartburn, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with difficulty in swallowing, sharp abdominal pain, nausea, vomiting blood, regurgitation, burning abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with difficulty in swallowing, sharp abdominal pain, back pain, vomiting blood, regurgitation, burning abdominal pain, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, difficulty in swallowing, regurgitation, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with difficulty in swallowing, nausea, back pain, vomiting blood, heartburn, and upper abdominal pain.",hiatal hernia
"The patient presents with back pain, vomiting blood, regurgitation, burning abdominal pain, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, sharp abdominal pain, nausea, vomiting blood, regurgitation, burning abdominal pain, heartburn, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, difficulty in swallowing, sharp abdominal pain, back pain, vomiting blood, heartburn, and upper abdominal pain.",hiatal hernia
"The patient presents with difficulty in swallowing, sharp abdominal pain, and burning abdominal pain.",hiatal hernia
"The patient presents with difficulty in swallowing, nausea, back pain, regurgitation, burning abdominal pain, heartburn, upper abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with nausea, back pain, vomiting blood, and heartburn.",hiatal hernia
"The patient presents with sharp chest pain, dizziness, difficulty in swallowing, back pain, vomiting blood, and burning abdominal pain.",hiatal hernia
"The patient presents with sharp chest pain, difficulty in swallowing, sharp abdominal pain, back pain, regurgitation, burning abdominal pain, heartburn, and regurgitation.1.",hiatal hernia
"The patient presents with sharp chest pain, difficulty in swallowing, back pain, regurgitation, burning abdominal pain, heartburn, and regurgitation.1.",hiatal hernia
"The patient presents with dizziness, difficulty in swallowing, nausea, back pain, regurgitation, burning abdominal pain, and regurgitation.1.",hiatal hernia
"The patient presents with dizziness, sharp abdominal pain, and back pain.",hiatal hernia
"The patient presents with difficulty in swallowing, sharp abdominal pain, nausea, back pain, vomiting blood, and heartburn.",hiatal hernia
